experiment_id,prompt,output_path,human_target_emotion,original_classifier_prediction,output_classifier_prediction,output_confidence,original_target_probability,output_target_probability,target_probability_change,original_trpakov_target_probability,original_mothecreator_target_probability,original_ensemble_target_probability,output_trpakov_target_probability,output_mothecreator_target_probability,output_ensemble_target_probability,ensemble_target_probability_change,emotion_distribution_similarity,emotion_l1_distance,face_detected,face_count,insightface_similarity,T_steps,tar_guidance_scale,n_min,n_max,privacy_score,target_emotion_score,distribution_score,combined_score
0,hp_0,/content/FlowEdit/outputs/FlowEdit_HP_0/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9906017780303955,0.889821320772171,0.9727278351783752,0.08290651440620422,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9906017780303955,0.954853892326355,0.9727278351783752,0.08290651440620422,0.9949389398097992,0.16618657764047384,True,1,0.30093932151794434,40,10.0,0,28,0.41429229806516443,0.9118579797440686,0.964621780933931,0.693229803107548
1,hp_1,/content/FlowEdit/outputs/FlowEdit_HP_1/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9899380207061768,0.889821320772171,0.8811958432197571,-0.00862547755241394,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9899380207061768,0.7724536657333374,0.8811958432197571,-0.00862547755241394,0.9846152365207672,0.17789634689688683,True,1,0.11203086376190186,40,10.0,0,33,0.9671210864041352,0.2641440965734134,0.4108217208618049,0.5951515044260773
2,hp_2,/content/FlowEdit/outputs/FlowEdit_HP_2/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.991780698299408,0.889821320772171,0.9703838229179382,0.08056250214576721,0.9831199049949646,0.7965227365493774,0.889821320772171,0.991780698299408,0.9489869475364685,0.9703838229179382,0.08056250214576721,0.9945768415927887,0.16200098767876625,True,1,0.25055360794067383,40,13.5,0,28,0.5617429380068053,0.8952708908921873,0.9451975482997493,0.7501759778345216
3,hp_3,/content/FlowEdit/outputs/FlowEdit_HP_3/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9912455677986145,0.889821320772171,0.8438681960105896,-0.04595312476158142,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9912455677986145,0.6964908242225647,0.8438681960105896,-0.04595312476158142,0.9769568741321564,0.24237514939159155,True,1,0.10079573094844818,40,13.5,0,33,1.0,0.0,0.0,0.45
4,hp_4,/content/FlowEdit/outputs/FlowEdit_HP_4/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec16.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9917885661125183,0.889821320772171,0.9751530587673187,0.0853317379951477,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9917885661125183,0.9585175514221191,0.9751530587673187,0.0853317379951477,0.9943210482597351,0.17158138286322355,True,1,0.21302855014801025,40,16.0,0,28,0.6715576730286653,0.92901974968634,0.9314758866784176,0.8134074288895942
5,hp_5,/content/FlowEdit/outputs/FlowEdit_HP_5/SD3/src_angry/tar_0/output_T_steps_40_n_avg_1_cfg_enc_3.5_cfg_dec16.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.99137282371521,0.889821320772171,0.9595098197460175,0.06968849897384644,0.9831199049949646,0.7965227365493774,0.889821320772171,0.99137282371521,0.927646815776825,0.9595098197460175,0.06968849897384644,0.9942314326763153,0.16795569378882647,True,1,0.1075587049126625,40,16.0,0,33,0.9802085796124974,0.8183224636878597,0.926668588939242,0.9020058283790849
6,hp_6,/content/FlowEdit/outputs/FlowEdit_HP_6/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9833933711051941,0.889821320772171,0.9691267311573029,0.07930541038513184,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9833933711051941,0.9548600912094116,0.9691267311573029,0.07930541038513184,0.9950684607028961,0.16599217895418406,True,1,0.421793133020401,50,10.0,0,28,0.060621176228310536,0.8863752493972322,0.9715697410185528,0.5233053656333495
7,hp_7,/content/FlowEdit/outputs/FlowEdit_HP_7/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec10.0_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9901220202445984,0.889821320772171,0.9810480177402496,0.09122669696807861,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9901220202445984,0.9719740152359009,0.9810480177402496,0.09122669696807861,0.9943096935749054,0.18294034153223038,True,1,0.35278236865997314,50,10.0,0,33,0.26257686257979274,0.970734637407947,0.9308667811118643,0.6480768531056693
8,hp_8,/content/FlowEdit/outputs/FlowEdit_HP_8/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9811767339706421,0.889821320772171,0.9658483266830444,0.07602700591087341,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9811767339706421,0.9505199193954468,0.9658483266830444,0.07602700591087341,0.9955199062824249,0.1632979428395629,True,1,0.3463064432144165,50,13.5,0,28,0.28152825342786125,0.8631760591776422,0.9957868830714403,0.6146956289796206
9,hp_9,/content/FlowEdit/outputs/FlowEdit_HP_9/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec13.5_n_min_0_n_max_33_seed42.png,angry,angry,angry,0.9911890029907227,0.889821320772171,0.9781840443611145,0.08836272358894348,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9911890029907227,0.9651790857315063,0.9781840443611145,0.08836272358894348,0.9944500923156738,0.17705158237367868,True,1,0.26223674416542053,50,13.5,0,33,0.5275529704434325,0.950468113332565,0.9383982675266486,0.7589493144518639
10,hp_10,/content/FlowEdit/outputs/FlowEdit_HP_10/SD3/src_angry/tar_0/output_T_steps_50_n_avg_1_cfg_enc_3.5_cfg_dec16.0_n_min_0_n_max_28_seed42.png,angry,angry,angry,0.9871158003807068,0.889821320772171,0.9739519357681274,0.08413061499595642,0.9831199049949646,0.7965227365493774,0.889821320772171,0.9871158003807068,0.9607880711555481,0.9739519357681274,0.08413061499595642,0.9948972761631012,0.17156949220225215,True,1,0.2878229022026062,50,16.0,0,28,0.45267667896360153,0.920520163636432,0.9623867951542944,0.7141772586854446
