prompt,human_target_emotion,original_classifier_prediction,output_classifier_prediction,output_confidence,original_target_probability,output_target_probability,target_probability_change,emotion_distribution_similarity,emotion_l1_distance,dino_face_similarity,privacy_score,target_emotion_score,distribution_score,combined_score
asian,angry,sad,fear,0.5539699792861938,0.021475011482834816,0.09744050353765488,0.07596549205482006,0.2711358666419983,1.39356529712677,0.5290634036064148,0.9555430197580925,0.012479630043213468,0.2705308088187721,0.46266327329246487
caucasian,angry,sad,angry,0.7337927222251892,0.021475011482834816,0.7337927222251892,0.7123177107423544,0.06729375571012497,1.8394596576690674,0.6274451613426208,0.40219108443058293,0.9999999844815445,0.0,0.6309859810104573
african,angry,sad,happy,0.4953131079673767,0.021475011482834816,0.1201876625418663,0.09871265105903149,0.7423852682113647,0.8495498895645142,0.521159291267395,1.0,0.047779707363025566,0.8959535008185179,0.5610962183952133
middle_age,angry,sad,angry,0.452374130487442,0.021475011482834816,0.452374130487442,0.4308991190046072,0.22357583045959473,1.4995007514953613,0.6989516615867615,5.624538002013679e-08,0.5632817971362191,0.20741109819050138,0.27421794384076975
old,angry,sad,fear,0.4731789231300354,0.021475011482834816,0.32523730397224426,0.30376229248940945,0.16733139753341675,1.618853211402893,0.5540381073951721,0.815071849149456,0.36598507953948023,0.13276581581233057,0.5447521994912543
short_black,angry,sad,fear,0.7030450701713562,0.021475011482834816,0.08939870446920395,0.06792369298636913,0.08378367125988007,1.7575255632400513,0.5888285636901855,0.619391605527543,0.0,0.02188473309383765,0.28091469579677814
blonde,angry,sad,angry,0.5650061368942261,0.021475011482834816,0.5650061368942261,0.5435311254113913,0.22938957810401917,1.4663891792297363,0.6131993532180786,0.48231717363053994,0.7380692742936499,0.21512686332521402,0.5706865878984069
glasses,angry,sad,happy,0.4355168640613556,0.021475011482834816,0.18756383657455444,0.16608882509171963,0.8207831978797913,0.6687818765640259,0.680743932723999,0.10241011920789911,0.15233712274956557,0.9999999867284141,0.21463625755370053
